Commodity,Date,Unit,Minimum Price,Maximum Price,Average Price,Price Range,Price_Difference,Date_Day
Orange(Indian),2021-01-14,Kg,70,80,75,10,5,14
Water Melon(Green),2021-01-14,Kg,40,50,45,10,5,14
Sweet Orange,2021-01-14,Kg,150,160,155,10,5,14
Pineapple,2021-01-14,1 Pc,140,150,145,10,5,14
Cucumber(Local),2021-01-14,Kg,80,90,85,10,5,14
Cucumber(Hybrid),2021-01-14,KG,40,50,45,10,5,14
Pear(Chinese),2021-01-14,Kg,250,260,255,10,5,14
Papaya(Indian),2021-01-14,Kg,90,100,95,10,5,14
Guava,2021-01-14,Kg,120,140,130,20,10,14
Mombin,2021-01-14,Kg,30,40,35,10,5,14
Kinnow,2021-01-14,Kg,70,80,75,10,5,14
Strawberry,2021-01-14,Kg,500,600,550,100,50,14
Kiwi,2021-01-14,Kg,220,250,235,30,15,14
Ginger,2021-01-14,Kg,50,60,55,10,5,14
Chilli Dry,2021-01-14,Kg,320,330,325,10,5,14
Chilli Green,2021-01-14,Kg,90,100,95,10,5,14
Chilli Green(Bullet),2021-01-14,KG,70,80,75,10,5,14
